# See the example.txt airport for all possible sections and items to add to this file.

[airspace]
radius = 55			; airspace radius in NM
zoom = 7.0 			; default zoom level, increase to zoom in
elevation = 13 			; ground altitude in feet
floor = 1800 			; minimum selectable altitude
descendaltitude = 12000 	; minimum initial altitude for arrivals
ceiling = 13000 		; maximum selectable altitude
above = 14000 			; maximum departure altitude when SID is enabled (must be above ceiling)
transitionaltitude = 18000	; highest altitude displayed in feet instead of flight level
speedrestriction = 20, 230 	; radius in NM, and speed in knots
usa = true			; American-style callsign pronunciation and runway names
metric = false			; display altitudes in metres instead of feet
separation = 3			; minimum allowed distance between aircraft in NM
center = N42.36429977, W71.00520325
magneticvar = -14.364
beacons =
	BOS, N42.35740, W70.98950, 0, Boston
	IMR, N42.09790, W70.67530, 0, Marshfield
	LWM, N42.74040, W71.09480, 0, Lawrence
	IHM, N42.00280, W71.19710, 0, Mansfield
	PYM, N41.84750, W70.80270, 0, Plymouth
	PSM, N43.08446, W70.83199, 0, pease
	ENE, N43.42567, W70.61353, 0, kennebunk
	MHT, N42.86850, W71.36950, 0, Manchester
	PVC, N42.06890, W70.22360, 0, Provincetown
	PVD, N41.72430, W71.42960, 0, Providence
	PSM, N43.08450, W70.83200, 0, Pease
	PUT, N41.95550, W71.84410, 0, Putnam
	FMH, N41.73260, W70.44090, 0, Otis
	LFV, N42.01720, W70.03730, 0, Marconi
	GDM, N42.54600, W72.05820, 0, Gardner
	ACK, N41.28189, W70.02671, 0, nantucket
	SEY, N41.16744, W71.57609, 0, sandy point
	MVY, N41.39621, W70.61272, 0, martha's vineyard

# BOS beacons
    AADMS, N42.35.07.53, W071.19.08.13, aadms
    ADDDA, N42.36.20.25, W070.46.55.46, addda
    ANSLY, N41.55.25.95, W070.58.18.81, ansly
    AUTUM, N42.33.01.17, W071.35.32.36, autum
    AWLIN, N41.33.22.48, W071.59.56.97, awlin
    AYBEE, N42.26.26.01, W070.31.40.48, aybee
    BADCA, N42.36.27.95, W071.42.43.21, badca
    BANKI, N41.35.44.39, W071.52.03.63, banki
    BBOGG, N42.05.56.98, W070.41.09.06, bbogg
    BECHH, N42.20.12.83, W070.50.16.49, bechh
    BEREI, N42.00.32.09, W070.48.20.74, berei
    BOXRS, N42.06.16.24, W071.04.17.45, boxrs
    BRGIT, N42.33.25.12, W070.41.52.30, brgit
    BRODI, N42.23.12.97, W070.55.18.28, brodi
    BRONC, N42.30.53.93, W071.43.21.61, bronc
    CHERS, N42.24.18.51, W070.55.47.58, chers
    CRADL, N42.00.36.88, W070.45.47.55, cradl
    ERNEI, N41.56.41.29, W071.12.30.68, ernei
    ETHYN, N42.19.33.13, W070.33.19.59, ethyn
    EURRO, N42.39.02.67, W070.05.16.55, eurro
    FERNZ, N41.50.35.40, W069.46.53.11, fernz
    FLUTI, N42.24.44.74, W070.53.11.93, fluti
    FOSTY, N41.50.35.46, W071.38.31.34, fosty
    GGABE, N42.16.29.28, W070.57.03.28, ggabe
    GOSHI, N42.02.11.09, W071.09.47.14, goshi
    GRGIO, N42.35.09.36, W070.33.54.40, grgio
    GRIFI, N42.18.42.17, W070.56.05.73, grifi
    HEFTY, N41.54.19.19, W071.33.50.39, hefty
    HNOVR, N42.32.07.43, W070.49.47.85, hnovr
    HOKDU, N42.20.43.93, W070.33.55.81, hokdu
    HRRIS, N42.27.40.77, W071.09.21.69, hrris
    ISLAY, N42.29.46.42, W071.03.39.16, islay
    IYANA, N42.03.16.48, W070.49.40.68, iyana
    JAYNA, N41.49.15.90, W071.12.13.60, jayna
    JEWIT, N41.41.45.92, W071.49.33.18, jewit
    JFUND, N42.35.11.34, W071.49.15.93, jfund
    JOBEE, N42.10.41.96, W070.59.32.15, jobee
    JOODY, N41.47.07.37, W071.17.15.23, joody
    KLEBB, N42.06.30.28, W070.36.58.08, klebb
    KRANN, N41.51.18.69, W071.07.24.46, krann
    LEEZI, N42.41.02.21, W070.44.36.30, leezi
    LOBBY, N42.30.15.53, W071.36.34.04, lobby
    LONEY, N42.28.55.22, W069.54.42.21, loney
    LWLND, N42.34.56.56, W071.01.06.27, lwlnd
    NUNZO, N42.01.51.20, W071.12.13.36, nunzo
    ONDEC, N42.32.47.83, W072.03.56.71, ondec
    OOSHN, N42.36.05.44, W070.13.52.37, ooshn
    PLGRM, N42.23.15.44, W070.51.19.79, plgrm
    PROVI, N41.43.25.46, W071.25.54.17, provi
    PTRIK, N42.31.38.24, W070.49.14.28, ptrik
    PUDJJ, N42.28.48.58, W070.17.48.68, pudjj
    RDHOK, N42.29.36.10, W071.03.20.94, rdhok
    REVER, N42.26.27.48, W070.57.41.31, rever
    ROBUC, N41.40.44.11, W071.35.06.42, robuc
    RODEE, N42.35.58.22, W069.56.54.94, rodee
    RUIZE, N41.28.45.63, W072.12.33.94, ruize
    SCITU, N42.16.43.48, W070.45.38.19, scitu
    SEHAG, N42.28.04.94, W070.47.06.19, sehag
    SOBAH, N42.14.14.45, W070.08.43.28, sobah
    SOFEE, N41.50.35.42, W071.15.32.13, sofee
    SPYSD, N42.26.58.45, W071.01.37.25, spysd
    SSAAM, N42.37.55.51, W071.23.09.86, ssaam
    TAALE, N42.37.34.55, W070.46.18.74, taale
    TKMAN, N42.34.54.97, W071.10.51.19, tkman
    TTERI, N42.31.46.46, W070.30.54.94, tteri
    WAATR, N42.27.28.16, W070.49.31.96, waatr
    WACHU, N42.39.08.71, W071.28.51.95, wachu
    WINTA, N42.30.12.45, W071.21.59.67, winta
    WOONS, N41.57.02.07, W071.30.25.34, woons

# BOS dep beacons
    CLAWW, N42.23.25.27, W070.48.47.67, claw
    HYLND, N42.46.51.12, W071.16.31.08, hylund
    SSOXS, N41.50.12.62, W070.44.46.26, socks
    BRUWN, N41.36.09.68, W070.13.45.81, bruwn
    LBSTA, N42.48.00.00, W070.36.48.70, labsta
    PATSS, N42.05.20.66, W071.42.39.03, patss
    REVSS, N42.20.43.57, W071.48.37.07, revss
    TJAYY, N42.18.18.19, W070.57.37.75, tjay
    CELTK, N42.15.59.05, W070.06.12.33, celtik
    BLZZR, N42.13.02.39, W071.45.36.59, blazer


# BVY beacons
    BCATS, N42.29.45.89, W071.50.33.89, bcats
    BLATT, N41.49.37.10, W072.00.54.94, blatt
    DREEM, N42.21.42.65, W071.44.34.13, dreem
    DVANY, N41.51.44.56, W072.18.11.25, dvany
    EEGUL, N42.37.31.23, W073.08.16.51, eegul
    EXXRO, N42.34.38.27, W071.11.35.48, exxro
    GASSE, N42.15.46.19, W071.51.17.51, gasse
    GOLEE, N42.29.43.42, W071.38.36.68, golee
    GRAYM, N42.06.04.27, W072.01.53.49, graym
    HAUKS, N42.31.13.98, W072.15.26.78, hauks
    HFD, N41.38.27.98, W072.32.50.71, hartford
    MOGUL, N41.43.22.76, W072.00.32.87, mogul
    ORW, N41.33.23.05, W071.59.57.67, norwich
    PAISN, N41.50.22.56, W072.07.02.55, paisn
    RIKAH, N42.33.05.03, W071.25.07.23, rikah
    TERIA, N42.36.19.75, W072.57.33.67, teria
    WANLA, N42.25.09.39, W071.39.40.53, wanla
    WIPOR, N41.39.23.07, W072.10.37.67, wipor
    WORIA, N42.29.47.18, W072.04.04.95, woria
    ZELKA, N42.29.41.90, W071.33.12.27, zelka


line1 =
