# This is an automatically generated airport file for Endless ATC.
# Feel free to improve, use and share this file, at your own risk.
# Data from ourairports.com.
# Coastline from naturalearthdata.com.
# See the example.txt airport for all possible sections and items to add to this file.

[airspace]
radius = 50
elevation = 841
usa = true
transition = 18001
center = N44.882, W93.221802
floor = 2000 			; minimum selectable altitude
descendaltitude = 7000 	; minimum initial altitude for arrivals
ceiling = 13000 		; maximum selectable altitude
above = 17000 			; maximum departure altitude when SID is enabled (must be above ceiling)
magneticvar = 1.529
beacons =
	MSP, N44.89650, W93.23650, 0, Minneapolis

# KMSP STAR BEACONS
    AANAH, N44.25.41.36, W093.19.19.23, aanah
    AFTYN, N44.51.52.44, W092.47.48.93, aftyn
    AHMIT, N44.29.52.59, W093.11.42.65, ahmit
    BAYKS, N45.03.37.67, W092.12.53.65, bayks
    BLUEM, N44.10.52.86, W093.13.25.67, bluem
    BRNVL, N44.48.16.38, W093.18.59.44, brnvl
    CANDD, N44.36.22.81, W093.00.50.94, candd
    CHYMP, N44.51.35.55, W093.24.16.58, chymp
    CMMOE, N44.57.45.48, W093.06.22.30, cmmoe
    CONIA, N44.45.10.46, W093.53.17.06, conia
    COZZZ, N45.03.15.64, W093.19.10.42, cozzz
    DAHRL, N44.21.53.52, W093.22.00.75, dahrl
    DELZY, N44.13.54.94, W093.13.16.33, delzy
    DNDIS, N44.24.37.21, W093.11.43.55, dndis
    DOLEE, N44.54.02.69, W093.32.36.02, dolee
    ELLKO, N44.35.42.49, W093.12.26.32, ellko
    FARBO, N44.22.28.13, W093.12.26.22, farbo
    FGT, N44.37.51.40, W093.10.55.39, farmington
    GDNEE, N44.30.41.05, W093.15.58.59, gdnee
    GEEQU, N44.46.14.91, W092.45.19.26, geequ
    GEP, N45.08.44.47, W093.22.23.45, gopher
    GREAK, N44.48.19.40, W093.19.04.57, greak
    GWAIT, N44.39.33.18, W093.18.36.95, gwait
    HAPTN, N44.37.42.13, W092.59.30.61, haptn
    HDEEE, N44.51.14.58, W093.25.51.61, hdeee
    HMBRG, N44.42.04.05, W094.07.10.47, hmbrg
    IRRRV, N44.53.30.84, W092.56.50.32, irrrv
    JAEDN, N44.47.20.15, W093.43.35.40, jaedn
    JAMEZ, N44.32.24.23, W093.09.08.72, jamez
    JJENI, N44.41.04.81, W093.02.19.28, jjeni
    JONZY, N44.50.28.09, W093.00.35.66, jonzy
    KAYQU, N45.10.47.83, W093.29.09.59, kayqu
    KKILR, N44.51.10.22, W092.11.08.12, kkilr
    KRISP, N44.52.09.19, W092.29.12.36, krisp
    KROIX, N44.53.23.70, W092.43.45.43, kroix
    KRUGG, N44.55.23.72, W093.40.22.06, krugg
    LKLND, N44.58.02.53, W092.37.24.03, lklnd
    LOOON, N44.58.55.32, W092.42.40.72, looon
    LUCCY, N45.35.04.41, W093.36.32.48, luccy
    MAUER, N44.46.54.18, W093.15.51.42, mauer
    MONKY, N44.51.09.10, W093.26.17.53, monky
    NITZR, N44.11.10.48, W093.27.57.86, nitzr
    NNEWW, N44.32.03.98, W093.15.09.71, nneww
    NOFLD, N44.25.52.15, W093.11.20.70, nofld
    NORWD, N44.44.54.77, W093.54.27.23, norwd
    OFSON, N44.40.25.33, W094.14.28.99, ofson
    OGLVE, N45.17.56.90, W093.28.56.95, oglve
    OLLEE, N45.32.07.89, W093.34.53.49, ollee
    OSMOH, N44.57.49.95, W093.06.34.25, osmoh
    PEPPR, N44.22.53.61, W093.12.23.75, peppr
    PIKKL, N44.22.49.19, W093.21.29.53, pikkl
    PRRPL, N45.03.08.48, W093.18.53.06, prrpl
    SAUGR, N45.20.54.45, W093.28.52.21, saugr
    SAVVG, N44.41.30.09, W093.13.09.85, savvg
    SHILD, N44.23.41.72, W093.20.48.89, shild
    SHONN, N44.41.36.39, W094.09.07.94, shonn
    SLIKK, N44.47.54.10, W093.17.12.48, slikk
    SPUKI, N44.53.54.59, W093.42.15.10, spuki
    STUWE, N44.48.47.60, W092.38.23.71, stuwe
    TRGET, N44.13.52.58, W093.27.43.65, trget
    TRTEL, N44.51.57.46, W092.45.43.09, trtel
    TWINZ, N45.02.55.67, W092.17.21.64, twinz
    VYKES, N45.02.12.00, W093.18.51.00, vykes
    WBSTR, N44.28.32.94, W093.17.14.11, wbstr
    WDBRY, N44.56.42.40, W092.56.21.76, wdbry
    WOLVS, N45.00.14.73, W092.34.22.91, wolvs
    ZASKY, N44.55.49.08, W093.01.51.18, zasky
    ZIBBY, N44.06.55.95, W093.13.57.05, zibby

# KMSP APPROACH BEACONS
    AABEZ, N44.47.17.10, W093.00.16.96, aabez
    ARJAE, N45.05.03.49, W093.17.36.68, arjae
    BRNVL, N44.48.16.38, W093.18.59.44, brnvl
    CCJAY, N45.03.30.66, W093.36.22.44, ccjay
    CUSAC, N45.01.26.28, W093.01.27.07, cusac
    FATES, N45.01.31.06, W093.01.20.34, fates
    GEEQU, N44.46.14.91, W092.45.19.26, geequ
    GEP, N45.08.44.47, W093.22.23.45, gopher
    GREAK, N44.48.19.40, W093.19.04.57, greak
    GROVZ, N44.42.50.91, W092.48.38.71, grovz
    HAMML, N44.58.38.58, W093.25.00.46, hamml
    HAPTN, N44.37.42.13, W092.59.30.61, haptn
    HASTI, N44.42.21.30, W092.49.01.33, hasti
    JAMEZ, N44.32.24.23, W093.09.08.72, jamez
    KAYQU, N45.10.47.83, W093.29.09.59, kayqu
    KETAM, N44.44.57.00, W093.24.39.07, ketam
    KRUGG, N44.55.23.72, W093.40.22.06, krugg
    LYDIA, N44.36.29.40, W093.28.44.19, lydia
    MAUER, N44.46.54.18, W093.15.51.42, mauer
    NNEWW, N44.32.03.98, W093.15.09.71, nneww
    PAETN, N45.03.11.97, W093.37.09.39, paetn
    ROZEE, N44.42.21.76, W093.11.42.54, rozee
    SAMMZ, N44.47.46.62, W092.59.54.51, sammz
    TRTEL, N44.51.57.46, W092.45.43.09, trtel
    WAGNR, N45.03.14.08, W092.59.58.52, wagnr
    WHISK, N45.08.23.57, W092.57.43.72, whisk
    ZESTY, N44.58.19.89, W093.25.47.46, zesty

# KMSP SID BEACONS
    ABR, N45.25.02.48, W098.22.07.39, aberdeen
    ALO, N42.33.23.39, W092.23.56.13, waterloo
    ARREX, N44.25.32.63, W094.08.33.99, arrex
    BBERD, N43.19.35.00, W094.28.53.00, bberd
    BDOGG, N44.48.31.68, W093.15.18.72, bdogg
    BOTNE, N44.56.03.00, W094.01.31.00, botne
    CLIKR, N44.44.58.99, W093.21.21.86, clikr
    CORDY, N44.07.25.38, W092.49.47.21, cordy
    COULT, N44.33.23.85, W092.12.30.38, coult
    DABOY, N41.53.19.05, W094.27.34.27, daboy
    DLL, N43.33.03.00, W089.45.49.04, dells
    DOKTR, N44.15.29.08, W092.55.20.92, doktr
    DWIYT, N45.18.12.16, W092.17.15.24, dwiyt
    DWN, N45.05.14.87, W094.27.13.86, darwin
    EYHUX, N42.26.08.02, W095.01.09.77, eyhux
    FAR, N46.45.12.01, W096.51.04.75, fargo
    FGT, N44.37.51.40, W093.10.55.39, farmington
    FOBUG, N44.25.19.96, W093.02.10.66, fobug
    FOD, N42.36.40.05, W094.17.41.34, fort dodge
    GEP, N45.08.44.47, W093.22.23.45, gopher
    GOOLD, N42.57.30.91, W094.42.51.04, goold
    GRB, N44.33.18.58, W088.11.41.49, green bay
    HITTL, N44.34.56.19, W093.27.48.29, hittl
    HOMUR, N45.25.05.56, W094.04.36.50, homur
    HRBEK, N45.18.52.31, W093.48.25.17, hrbek
    HSTIN, N44.00.08.00, W093.57.40.00, hstin
    HUGIR, N44.42.04.34, W093.36.57.24, hugir
    HUSHH, N44.50.18.20, W093.13.45.93, hushh
    JEDET, N44.27.40.64, W092.43.40.59, jedet
    KBREW, N45.35.03.67, W094.30.53.21, kbrew
    KEYPR, N44.40.42.68, W093.33.54.89, keypr
    KUUGL, N44.56.54.26, W094.21.16.60, kuugl
    LEINY, N45.02.16.00, W097.36.40.00, leiny
    LMFRY, N44.22.14.63, W091.51.01.69, lmfry
    MCONL, N44.35.00.33, W093.50.32.26, mconl
    MNDEE, N44.44.14.85, W093.19.24.52, mndee
    MSP, N44.53.47.40, W093.14.11.51, minneapolis
    NANCZ, N44.24.52.14, W093.36.27.99, nancz
    OBH, N41.22.32.65, W098.21.12.94, wolbach
    ODI, N43.54.44.39, W091.28.03.06, nodine
    ONL, N42.28.13.80, W098.41.12.94, o'neill
    ONTIJ, N43.17.51.48, W094.30.46.46, ontij
    ORSKY, N43.40.11.13, W094.13.22.92, orsky
    OTG, N43.38.48.90, W095.34.55.05, worthington
    OVR, N41.10.01.80, W095.44.12.67, omaha
    PAGOZ, N45.11.17.56, W094.17.15.85, pagoz
    PRAMN, N44.40.03.22, W093.23.23.11, pramn
    RST, N43.46.58.45, W092.35.49.06, rochester
    SCHEP, N44.14.50.23, W094.28.43.65, schep
    SIMJI, N42.49.33.63, W094.47.31.30, simji
    SLAYR, N44.25.06.00, W094.08.53.00, slayr
    SMERF, N45.55.15.82, W097.34.08.26, smerf
    SNINE, N45.15.06.76, W092.39.02.89, snine
    TEYOU, N43.17.30.00, W096.16.25.00, teyou
    TODDO, N41.50.32.36, W095.21.31.40, toddo
    TONCA, N44.54.57.58, W093.38.01.51, tonca
    TTOSS, N43.55.42.00, W095.05.31.00, ttoss
    WLSTN, N45.28.26.44, W091.00.55.27, wlstn
    YUPER, N43.11.32.00, W094.08.25.00, yuper
    ZMBRO, N44.20.29.98, W092.26.54.60, zmbro
    ZOGAP, N45.05.17.00, W093.52.33.00, zogap
    ZZEEE, N42.06.21.00, W095.24.14.00, zzeee


line1 =
	N44.12645, W91.71644
	N44.19415, W91.84098
	N44.28887, W91.91229
	N44.39982, W92.05512
	N44.44525, W92.14858
	N44.46214, W92.24031
	N44.49780, W92.31309
	N44.55227, W92.36694
	N44.58658, W92.44159
	N44.60079, W92.53703
	N44.64534, W92.64354
	N44.75779, W92.81988
	N44.79019, W92.96256
	N44.83814, W93.03021
	N44.91240, W93.07041
	N44.93746, W93.11876
	N44.91323, W93.17524
	N44.96304, W93.23249
	N45.08691, W93.29053
	N45.16665, W93.34900
	N45.20236, W93.40786
	N45.38865, W93.93586
	N45.43919, W94.06299
	N45.49634, W94.13329
	N45.57704, W94.18921
	N45.63212, W94.21200
	N45.66163, W94.20171
	N45.71382, W94.23778
	N45.78873, W94.32015
	N45.85281, W94.37054

[airport1]
name = Minneapolis-St Paul International/Wold-Chamberlain Airport
code = KMSP
runways =
	KMSP_04_22, 04, N44.8723, W93.2383, 45.0, 11006, 1550, 988, 832
	KMSP_12L_30R, 12L, N44.8929, W93.221, 121.3, 8000, 0, 0, 838
	KMSP_12R_30L, 12R, N44.8878, W93.2341, 121.3, 10000, 0, 0, 841
	KMSP_17_35, 17, N44.8878, W93.2422, 169.5, 8000, 0, 0, 840

climbaltitude = 6000

entrypoints =
    180, NITZR
    090, TWINZ
    250, OFSON
    090, KKILR
    330, OLLEE
    360, LUCCY
    180, TRGET
    180, ZIBBY
    090, BAYKS
    270, SHONN
    180, BLUEM

sids =
    ABR, N45.25.02.48, W098.22.07.39, aberdeen
    ALO, N42.33.23.39, W092.23.56.13, waterloo
    ARREX, N44.25.32.63, W094.08.33.99, arrex
    BBERD, N43.19.35.00, W094.28.53.00, bberd
    BDOGG, N44.48.31.68, W093.15.18.72, bdogg
    BOTNE, N44.56.03.00, W094.01.31.00, botne
    CLIKR, N44.44.58.99, W093.21.21.86, clikr
    CORDY, N44.07.25.38, W092.49.47.21, cordy
    COULT, N44.33.23.85, W092.12.30.38, coult
    DABOY, N41.53.19.05, W094.27.34.27, daboy
    DLL, N43.33.03.00, W089.45.49.04, dells
    DOKTR, N44.15.29.08, W092.55.20.92, doktr
    DWIYT, N45.18.12.16, W092.17.15.24, dwiyt
    DWN, N45.05.14.87, W094.27.13.86, darwin
    EYHUX, N42.26.08.02, W095.01.09.77, eyhux
    FAR, N46.45.12.01, W096.51.04.75, fargo
    FGT, N44.37.51.40, W093.10.55.39, farmington
    FOBUG, N44.25.19.96, W093.02.10.66, fobug
